x,y,Yield,D1,D2,D3,D4
12.5,112.5,3.79416952172803,1,0,1,0
15,112.5,3.75583312890742,1,0,1,0
17.5,112.5,3.63662274411681,1,0,1,0
20,112.5,3.83923636719735,1,0,1,0
22.5,112.5,3.76138145348231,1,0,1,0
25,112.5,3.76620547938816,0,0,0,1
27.5,112.5,3.94921826467016,0,0,0,1
30,112.5,3.92467206341096,0,0,0,1
32.5,112.5,3.86364116664797,0,0,0,1
0,115,3.26495825693694,0,0,0,1
2.5,115,3.52255043700958,0,0,0,1
5,115,3.88622538347002,0,0,0,1
7.5,115,4.00751576180939,0,0,0,1
10,115,4.01880138174811,1,0,1,0
12.5,115,3.87270928732341,1,0,1,0
15,115,3.8195057640733,1,0,1,0
17.5,115,3.6694456305228,1,0,1,0
20,115,3.87699158289478,1,0,1,0
22.5,115,3.76227275712879,1,0,1,0
25,115,3.70973304217503,0,0,0,1
27.5,115,3.82063840006572,0,0,0,1
30,115,3.72950453864688,0,0,0,1
32.5,115,3.74692867303176,0,0,0,1
0,117.5,3.25432456500212,0,0,0,1
2.5,117.5,3.57628549241575,0,0,0,1
5,117.5,3.84028456501686,0,0,0,1
7.5,117.5,3.99366976845913,0,0,0,1
10,117.5,3.99755322154615,1,0,1,0
12.5,117.5,3.74906161306788,1,0,1,0
15,117.5,3.67209663699466,1,0,1,0
17.5,117.5,3.62367062506338,1,0,1,0
20,117.5,3.77057624341987,1,0,1,0
22.5,117.5,3.80808633099344,1,0,1,0
25,117.5,3.74520668957316,0,0,0,1
27.5,117.5,3.90749479614215,0,0,0,1
30,117.5,3.86856434509649,0,0,0,1
32.5,117.5,3.75875872703145,0,0,0,1
0,120,3.36061510273508,0,0,0,0
2.5,120,3.49021369670924,0,0,0,0
5,120,3.9082397423447,0,0,0,0
7.5,120,4.07608047366127,0,0,0,0
10,120,4.01890533733498,1,0,1,1
12.5,120,3.76110563395788,1,0,1,1
15,120,3.83480777438927,1,0,1,1
17.5,120,3.55160993096492,1,0,1,1
20,120,3.84859669938619,1,0,1,1
22.5,120,3.8569282060239,1,0,1,1
25,120,3.87011655495047,0,0,0,0
27.5,120,3.94570331744834,0,0,0,0
30,120,3.81787514335092,0,0,0,0
32.5,120,3.70573543223284,0,0,0,0
0,122.5,3.25070988351546,0,0,0,0
2.5,122.5,3.43096599563474,0,0,0,0
5,122.5,3.90498397943737,0,0,0,0
7.5,122.5,3.98914316262431,0,0,0,0
10,122.5,3.99257860437483,1,0,1,1
12.5,122.5,3.729762999219,1,0,1,1
15,122.5,3.83478038642574,1,0,1,1
17.5,122.5,3.41346788694518,1,0,1,1
20,122.5,3.82713651167097,1,0,1,1
22.5,122.5,3.81697814418647,1,0,1,1
25,122.5,3.8271157875717,0,0,0,0
27.5,122.5,3.94206022069947,0,0,0,0
30,122.5,3.85303877431038,0,0,0,0
32.5,122.5,3.83034837703695,0,0,0,0
0,125,3.33199433607768,0,0,0,0
2.5,125,3.39286325302745,0,0,0,0
5,125,3.94765724109783,0,0,0,0
7.5,125,4.05228659600908,0,0,0,0
10,125,4.01574738641316,1,0,1,1
12.5,125,3.76963321619847,1,0,1,1
15,125,3.6273099126062,1,0,1,1
17.5,125,3.50862415023709,1,0,1,1
20,125,3.84643402776971,1,0,1,1
22.5,125,3.7611983190844,1,0,1,1
25,125,3.7809046115302,0,0,0,0
27.5,125,3.81221312751855,0,0,0,0
30,125,3.95436860492026,0,0,0,0
32.5,125,3.89756844958198,0,0,0,0
0,127.5,3.14174985150447,0,0,0,0
2.5,127.5,3.30811916514571,0,0,0,0
5,127.5,3.95788607918045,0,0,0,0
7.5,127.5,4.09322653328305,0,0,0,0
10,127.5,4.00384765587353,1,0,1,1
12.5,127.5,3.76235913792905,1,0,1,1
15,127.5,3.62106297681608,1,0,1,1
17.5,127.5,3.39495325512756,1,0,1,1
20,127.5,3.82400261797609,1,0,1,1
22.5,127.5,3.77271869326964,1,0,1,1
25,127.5,3.78724857482848,0,0,0,0
27.5,127.5,3.91862150266788,0,0,0,0
30,127.5,3.92270273226169,0,0,0,0
32.5,127.5,3.83880472316449,0,0,0,0
0,130,3.40448356784159,0,0,0,0
2.5,130,3.54231571845475,0,0,0,0
5,130,4.00943620745036,0,0,0,0
7.5,130,4.08604843943188,0,0,0,0
10,130,4.06191784330089,1,0,1,1
12.5,130,3.7525073438314,1,0,1,1
15,130,3.76130392043758,1,0,1,1
17.5,130,3.52124011559465,1,0,1,1
20,130,3.86316930129646,1,0,1,1
22.5,130,3.7600412597374,1,0,1,1
25,130,3.84398472829429,0,0,0,0
27.5,130,3.93763518786338,0,0,0,0
30,130,3.96279945727665,0,0,0,0
32.5,130,3.80543202045906,0,0,0,0
0,132.5,3.42477139924597,0,0,0,0
2.5,132.5,3.59887849598221,0,0,0,0
5,132.5,4.01058091718833,0,0,0,0
7.5,132.5,4.13332466767506,0,0,0,0
10,132.5,4.1106925765413,1,0,1,1
12.5,132.5,3.77769050097111,1,0,1,1
15,132.5,3.71620757918549,1,0,1,1
17.5,132.5,3.58578130661415,1,0,1,1
20,132.5,3.83611520506727,1,0,1,1
22.5,132.5,3.84999627770401,1,0,1,1
25,132.5,3.9317849286991,0,0,0,0
27.5,132.5,4.01047529870802,0,0,0,0
30,132.5,3.86624597357401,0,0,0,0
32.5,132.5,3.71266885659384,0,0,0,0
0,135,3.41908797446256,0,0,0,0
2.5,135,3.81390808525039,0,0,0,0
5,135,4.02992298776754,0,0,0,0
7.5,135,4.15666157318648,0,0,0,0
10,135,4.0708676921378,1,0,1,1
12.5,135,3.89770543517053,1,0,1,1
15,135,3.92466163488448,1,0,1,1
17.5,135,3.74240055045967,1,0,1,1
20,135,3.89872726130269,1,0,1,1
22.5,135,3.83123312566993,1,0,1,1
25,135,3.96827923010968,0,0,0,0
27.5,135,4.02883451952527,0,0,0,0
30,135,3.97932952683777,0,0,0,0
32.5,135,3.7349356698578,0,0,0,0
0,137.5,3.59963108602917,0,0,0,0
2.5,137.5,3.77625902035583,0,0,0,0
5,137.5,4.03630777744841,0,0,0,0
7.5,137.5,4.12669823219735,0,0,0,0
10,137.5,4.07947589033607,1,0,1,1
12.5,137.5,3.93048764988991,1,0,1,1
15,137.5,3.75092478388767,1,0,1,1
17.5,137.5,3.61868270255931,1,0,1,1
20,137.5,3.86584880718535,1,0,1,1
22.5,137.5,3.87069084872055,1,0,1,1
25,137.5,3.9327063592137,0,0,0,0
27.5,137.5,4.05064075750015,0,0,0,0
30,137.5,3.84753528764144,0,0,0,0
32.5,137.5,3.75725879712711,0,0,0,0
0,140,3.61944132656917,0,0,0,0
2.5,140,3.77655441855705,0,0,0,0
5,140,3.92674409136861,0,0,0,0
7.5,140,4.09513451546325,0,0,0,0
10,140,3.99651502507826,1,0,1,1
12.5,140,4.03103416155982,1,0,1,1
15,140,3.99890594025142,1,0,1,1
17.5,140,3.87997602703579,1,0,1,1
20,140,3.93174216437221,1,0,1,1
22.5,140,3.92159992226776,1,0,1,1
25,140,3.99861974352631,0,0,0,0
27.5,140,4.06017858589621,0,0,0,0
30,140,3.89686827774215,0,0,0,0
32.5,140,3.87305003565473,0,0,0,0
0,142.5,3.63273875413524,0,0,0,0
2.5,142.5,3.77153258272502,0,0,0,0
5,142.5,3.86139796284333,0,0,0,0
7.5,142.5,3.96259283409102,0,0,0,0
10,142.5,3.94828643065728,1,0,1,1
12.5,142.5,3.98799453520604,1,0,1,1
15,142.5,4.01222312057235,1,0,1,1
17.5,142.5,4.01104536195355,1,0,1,1
20,142.5,3.93563968555788,1,0,1,1
22.5,142.5,3.92945922034789,1,0,1,1
25,142.5,3.91397914332745,0,0,0,0
27.5,142.5,4.00511493815057,0,0,0,0
30,142.5,4.06697352081385,0,0,0,0
32.5,142.5,3.91704015696601,0,0,0,0
0,145,3.53396387196888,0,0,0,0
2.5,145,3.79088839200036,0,0,0,0
5,145,3.89089132637832,0,0,0,0
7.5,145,4.01999259613458,0,0,0,0
10,145,3.999388413262,1,0,1,1
12.5,145,3.99758583363057,1,0,1,1
15,145,3.90145722436531,1,0,1,1
17.5,145,3.89514301575473,1,0,1,1
20,145,3.9410765120588,1,0,1,1
22.5,145,3.92957085787897,1,0,1,1
25,145,3.88254586342992,0,0,0,0
27.5,145,3.96928485173178,0,0,0,0
30,145,4.11555091107329,0,0,0,0
32.5,145,4.00255606609918,0,0,0,0
0,147.5,3.31534321878198,0,0,0,0
2.5,147.5,3.69907012167103,0,0,0,0
5,147.5,4.0160839132386,0,0,0,0
7.5,147.5,4.07355942866657,0,0,0,0
10,147.5,4.01922271659958,1,0,1,1
12.5,147.5,3.86511567666671,1,0,1,1
15,147.5,3.82947693020693,1,0,1,1
17.5,147.5,3.84193244673868,1,0,1,1
20,147.5,3.88244392882384,1,0,1,1
22.5,147.5,3.91929078324506,1,0,1,1
25,147.5,3.88044830930758,0,0,0,0
27.5,147.5,3.88067307162978,0,0,0,0
30,147.5,3.96110587509891,0,0,0,0
32.5,147.5,3.95402734067867,0,0,0,0
0,150,3.09369305129068,0,0,0,0
2.5,150,3.52393438292616,0,0,0,0
5,150,3.90441142298661,0,0,0,0
7.5,150,3.99084661475325,0,0,0,0
10,150,3.89069117150268,1,0,1,1
12.5,150,3.65150916398431,1,0,1,1
15,150,3.79260509278417,1,0,1,1
17.5,150,3.83897215621403,1,0,1,1
20,150,3.91727506863713,1,0,1,1
22.5,150,3.68524685528159,1,0,1,1
25,150,3.46580596015546,0,0,0,0
27.5,150,3.57419969250436,0,0,0,0
30,150,3.65252815212749,0,0,0,0
32.5,150,3.76596326710647,0,0,0,0
0,152.5,2.97127989522123,0,0,0,0
2.5,152.5,3.27268921894165,0,0,0,0
5,152.5,3.44034220075032,0,0,0,0
7.5,152.5,3.55259506361862,0,0,0,0
10,152.5,3.5204877549702,1,0,1,1
12.5,152.5,3.3861941430893,1,0,1,1
15,152.5,3.58396176062232,1,0,1,1
17.5,152.5,3.58437170466152,1,0,1,1
20,152.5,3.48721273718383,1,0,1,1
22.5,152.5,3.3467400503882,1,0,1,1
25,152.5,2.86193446604111,0,0,0,0
27.5,152.5,3.06613479555966,0,0,0,0
30,152.5,3.18648038499078,0,0,0,0
32.5,152.5,3.03831609600901,0,0,0,0
0,155,3.24293698679737,0,0,0,0
2.5,155,3.41776070846015,0,0,0,0
5,155,3.58686878479832,0,0,0,0
7.5,155,3.85663518757786,0,0,0,0
10,155,3.96201367660609,1,0,1,1
12.5,155,3.86401043456443,1,0,1,1
15,155,3.90042349278907,1,0,1,1
17.5,155,4.11472968037865,1,0,1,1
20,155,3.93174918193864,1,0,1,1
22.5,155,3.70023009427042,1,0,1,1
25,155,3.20743449998184,0,0,0,0
27.5,155,3.16143377938946,0,0,0,0
30,155,3.36331246936359,0,0,0,0
32.5,155,3.17757745032772,0,0,0,0
0,157.5,3.11236758628157,0,0,0,0
2.5,157.5,3.40888380540689,0,0,0,0
5,157.5,3.59246638466715,0,0,0,0
7.5,157.5,3.70638622519393,0,0,0,0
10,157.5,3.93569549421528,1,0,1,1
12.5,157.5,3.87758342048803,1,0,1,1
15,157.5,3.79271520709898,1,0,1,1
17.5,157.5,4.18695434358097,1,0,1,1
20,157.5,4.14557667979745,1,0,1,1
22.5,157.5,3.7072357605771,1,0,1,1
25,157.5,3.55192483431844,0,0,0,0
27.5,157.5,3.33949949216227,0,0,0,0
30,157.5,3.32324581929544,0,0,0,0
32.5,157.5,3.4550613954547,0,0,0,0
